codigo,nombre,carrera,semestre,materia,nota
CS20230001,Iván Sánchez Martínez,Comunicación Social,5,Producción Audiovisual,3.04
OD20220002,Mauricio Núñez Rodríguez,Odontología,7,Anatomía Dental,3.09
AE20250003,Rafael Martínez Aguilar,Administración de Empresas,9,Finanzas,3.64
CS20240004,Alejandro Bermúdez Flores,Comunicación Social,7,Publicidad,3.38
PS20240005,Luisa Pérez Rodríguez,Psicología,2,Social,4.4
IC20220006,Sandra Delgado Núñez,Ingeniería Civil,7,Concreto,3.81
CS20220007,Stephanie Salinas Gómez,Comunicación Social,2,Producción Audiovisual,4.49
CP20240008,Julián Pérez Jiménez,Contaduría Pública,8,Auditoría,3.6
AR20230009,Natalia Guzmán Serrano,Arquitectura,2,Materiales,4.08
CS20230010,Juan Ortega Pineda,Comunicación Social,9,Publicidad,4.39
PS20220011,Julián López Mendoza,Psicología,5,Neuropsicología,4.78
AR20250012,Gabriel Mendoza Díaz,Arquitectura,8,Historia del Arte,3.06
CP20250013,Mauricio Aguilar Núñez,Contaduría Pública,10,Finanzas,3.61
IC20220014,Nicolás Herrera Peña,Ingeniería Civil,1,Resistencia de Materiales,4.4
PS20250015,Carolina Palacios González,Psicología,7,Evaluación,3.78
IC20240016,Alejandro Serrano Ariza,Ingeniería Civil,9,Hidráulica,3.17
LE20230017,Vanessa García Ariza,Licenciatura en Educación Infantil,5,Inclusión,4.94
OD20230018,Paola Pineda Herrera,Odontología,4,Periodoncia,4.27
OD20250019,Cristian Campos García,Odontología,6,Anatomía Dental,3.15
AE20220020,Paola Morales Hernández,Administración de Empresas,10,Gestión Humana,4.41
II20250021,Liliana Núñez Polo,Ingeniería Industrial,3,Logística,3.21
LE20230022,Rafael Guerrero Díaz,Licenciatura en Educación Infantil,9,Didáctica,3.84
MD20230023,Stephanie Ruiz Campos,Medicina,2,Fisiología,1.04
AE20220024,Diana Reyes Cárdenas,Administración de Empresas,1,Gestión Humana,3.36
AE20250025,Luisa González Herrera,Administración de Empresas,5,Finanzas,3.86
AE20250026,Eduardo Salinas Ríos,Administración de Empresas,8,Finanzas,3.26
MD20220027,David Guerrero Vega,Medicina,1,Anatomía,3.67
AE20250028,Mateo Morales Gómez,Administración de Empresas,9,Finanzas,3.64
NI20220029,Andrea González Ruiz,Negocios Internacionales,9,Comercio Exterior,4.27
TS20230030,Alejandro Rodríguez Bermúdez,Trabajo Social,4,Familia,3.61
PS20250031,Melissa Hernández Flores,Psicología,1,Social,4.89
CS20250032,Carlos Guerrero Guzmán,Comunicación Social,9,Producción Audiovisual,3.09
EN20240033,Isabella Cárdenas Figueroa,Enfermería,1,Cuidado Básico,1.91
EN20230034,Claudia Flores Hernández,Enfermería,2,Cuidado Básico,3.84
LE20230035,Andrea Medina Sánchez,Licenciatura en Educación Infantil,10,Inclusión,3.81
OD20240036,Jorge Barrera Cárdenas,Odontología,9,Periodoncia,3.29
II20250037,Andrea Cruz Medina,Ingeniería Industrial,5,Estadística,4.97
OD20220038,Alejandro Delgado Acosta,Odontología,2,Endodoncia,3.11
DR20230039,David González Morales,Derecho,5,Laboral,4.35
IS20240040,Marcela Roa Campos,Ingeniería de Sistemas,9,Programación I,4.57
EN20240041,Sofía Pérez Figueroa,Enfermería,3,Pediatría,4.36
TS20250042,Laura Serrano Pineda,Trabajo Social,5,Comunidad,4.92
TS20220043,Camila Pineda Guerrero,Trabajo Social,5,Intervención Social,3.57
MD20250044,Diego Flores Figueroa,Medicina,9,Cirugía,1.14
IS20230045,Alejandra Torres Núñez,Ingeniería de Sistemas,6,Algoritmos,3.12
AR20220046,Santiago Castillo Díaz,Arquitectura,4,Estructuras,4.44
II20230047,Jorge Acosta Figueroa,Ingeniería Industrial,4,Producción,4.51
NI20240048,Mauricio Suárez Vega,Negocios Internacionales,4,Finanzas Internacionales,4.05
AE20240049,Santiago Ríos Reyes,Administración de Empresas,8,Marketing,4.44
AE20240050,Julián Martínez Barrera,Administración de Empresas,7,Marketing,4.48
EN20240051,Natalia Castillo Roa,Enfermería,7,Cuidado Básico,3.39
IS20250052,Mariana Cárdenas Cruz,Ingeniería de Sistemas,2,Redes,4.16
PS20230053,Rafael Herrera Sánchez,Psicología,10,Social,1.83
CS20240054,Claudia Núñez Serrano,Comunicación Social,4,Opinión Pública,2.26
AR20240055,Luisa Acosta Mendoza,Arquitectura,2,Materiales,3.7
EN20230056,Melissa Guzmán Vargas,Enfermería,3,Salud Pública,4.19
OD20250057,Mauricio Rivera Acosta,Odontología,5,Endodoncia,4.15
OD20250058,Laura Guerrero Cárdenas,Odontología,6,Ortodoncia,3.61
AR20240059,Ricardo Figueroa Flores,Arquitectura,2,Materiales,4.31
AR20230060,Camila Bermúdez Morales,Arquitectura,5,Urbanismo,3.02
IC20250061,Ricardo Acosta Polo,Ingeniería Civil,8,Concreto,3.28
